session_id,target
1,0.002209570549406868
2,4.807465566944006e-09
3,1.8729761112724722e-08
4,2.3529480337494758e-08
5,3.1318872324211875e-05
6,0.00021841436501782868
7,0.0005478118860321603
8,0.00013223557505215303
9,0.0007951017834215112
10,0.10313656482821117
11,3.037255418330404e-05
12,8.64531731727213e-05
13,0.0004375727839893565
14,0.35775259140126764
15,5.018979716649121e-05
16,0.004009527967516314
17,0.015199843932588249
18,3.192563337510171e-05
19,0.0009338287907889414
20,2.729640489114825e-07
21,0.06230922693382228
22,5.553672296621621e-08
23,2.8665848575075324e-05
24,0.0003385004103725013
25,0.07176509975801523
26,4.595222187854689e-09
27,0.0006276991345680821
28,3.6904096194820486e-07
29,0.014571951689707822
30,0.00011073882406410291
31,0.01367568087307567
32,0.04383493064917425
33,0.000620542254912179
34,9.341678970708171e-08
35,0.01339950518002683
36,0.000326697966818884
37,6.1996305776277785e-09
38,1.3745080760885338e-08
39,0.00011073882406410291
40,3.0009779823395755e-05
41,0.00044255268662507215
42,0.001258259409908215
43,1.8712001956701087e-06
44,1.406216076078451e-05
45,0.24373925629592733
46,8.731419869594857e-06
47,0.009256279551244839
48,0.0005913145740074528
49,2.5105948935047413e-05
50,9.500846685316068e-06
51,1.2405172614181538e-07
52,6.010056470965604e-06
53,0.03574913290035037
54,0.00010327054046644897
55,6.146644605395216e-06
56,0.0018046071934432885
57,1.1777389188457017e-06
58,1.5448397778459235e-05
59,1.5888421970917834e-05
60,6.638855334707986e-06
61,9.050036006351864e-06
62,0.0013676825244989931
63,1.5017465066781696e-05
64,3.214964177202909e-05
65,7.065899384165274e-06
66,1.1956982883104977e-07
67,0.0001960239676790211
68,0.00015696165029206553
69,0.09147763384872763
70,0.00014671365098681448
71,0.00027195960312863216
72,1.5888421970917834e-05
73,0.030188272916743777
74,4.807465566944006e-09
75,2.8881597071764124e-05
76,0.0003599263642580601
77,0.00017099951996310203
78,0.001525552166540943
79,7.263452334346405e-06
80,0.000122530325901981
81,2.3594816309287007e-05
82,3.9112556334169434e-05
83,3.7284745485499526e-08
84,0.24983513949960184
85,1.363295823076951e-05
86,6.214680458316056e-07
87,0.0011985410649344162
88,0.0005868260804697212
89,0.0003145565551415143
90,0.01805759700664696
91,0.00013070044429497113
92,9.622899926465936e-06
93,0.032784531348947064
94,0.0008488182471883666
95,0.03878396710896831
96,3.386025415484882e-08
97,9.707547648457084e-05
98,6.850652671087629e-05
99,2.181720018239587e-05
100,0.00010116940355947426
101,0.0005102009777971719
102,0.07066910284348048
103,0.0022692323877734825
104,0.0023872654287624934
105,3.7342949073625384e-06
106,0.0002782103506189642
107,0.0003326523490314659
108,1.9317773721737614e-05
109,1.8131188462314425e-05
110,9.306298419849539e-05
111,0.00014644219550196742
112,2.5754391754410446e-07
113,0.015396365260754583
114,6.6783727281385725e-06
115,0.00013001002666593897
116,0.0008128080982024043
117,0.0014484957761693178
118,0.004407225370596488
119,0.009804860153931174
120,0.00014703326876320416
121,3.89161360060726e-05
122,0.00011073882406410291
123,0.00028351485443403357
124,2.3089158601257174e-05
125,0.0016310626055668536
126,4.571465237281295e-07
127,5.225102617349454e-09
128,0.0003546312047439013
129,0.0030230915841023658
130,0.0012010299997658174
131,0.013172595188096334
132,0.0005478118860321603
133,0.0008460321937128216
134,1.511296855296936e-06
135,6.03804650520218e-06
136,3.214964177202909e-05
137,0.00032213421062172987
138,0.0016286656892168828
139,8.235609564056118e-07
140,0.0005438744699388244
141,3.2383235483310654e-09
142,0.00030223695628484824
143,0.0002981313788392934
144,0.0007736503551487586
145,4.807465566944006e-09
146,0.0114662473827686
147,0.0003665459618376081
